pgpid,description
16794,"Recto: statement, dated 1466 of the Seleucid Era (= 1155 CE), concerning a debt which Saʿadya b. Judah owes to Abū Zikrī Yaḥyā the doctor al-Levi. Jottings in Arabic and Hebrew script in the margin. Verso: jottings and writing exercises in Arabic and Hebrew script. (Information from CUDL)"
16795,Portion of a masoretic treatise discussing qere-ketiv and mappiq in final he. F. 2v: beginning of a draft petition to the caliph al-Mustanṣir from a man seeking employment in the caliph’s service. Ca. 427-487 AH (= 1036-1094 CE). (Information from CUDL)
16798,"Recto: two documents. The first is an order for delivery of dues to the office of land tax written by the accountant Abū Musabbiḥī Abū l-Qāsim al-Ḥasan b. al-Ḥusayn, in which it is stated that Abū l-Ḥasan Mājid b. Yaʿqūb shall deliver to the land-tax office the dues that he received from Wasly b. Maymūn and that went through the hands of Abū Qalā ʿAbd al-Raḥmān […], Zakariyā b. Mukhtār, ʿAlūn b. Ḥanūn (the clerk), Ṣayfī b. Rashīd and Qolte b. al-Sarrī (surveyors). Dated 423 AH (= 1031-1032 CE). The second document is a receipt issued by a tax officer testifying that he has received the total payment by the aforementioned Abū l-Ḥasan Mājid b. Yaʿqūb. Verso and left margin of recto: homily in Judaeo-Arabic and Hebrew. (Information from CUDL)"
16799,"Recto: legal document referring to an agreement between [... b.] Meshullam and his wife Maymūna, possibly concerning a dowry. Signed by Abraham b. Isaac ha-Talmid and Ṣedaqa ha-Kohen b. David. There is a diagram in the right margin. Ca. second half of the 11th century. Verso: Arabic and Hebrew jottings and a drawing. (Information from CUDL)"
16800,"Recto: deed of release given by Rina bat Joseph, widow of the locksmith Maymūn b. Jacob, to her deceased husband’s brother, Joseph b. Jacob, to his sisters Malika (מלכה) and Falfala (פלפלה), and to Sahlān b. Abraham b. Sunbāt. Dated Monday 26th Nisan 1292 (= 987 CE) in Fusṭāṭ. Witnessed by Fashshāt b. Shemuʾel, Baqāʾ b. Mevasser, Ephraim b. Ṣadoq, Ephraim b. ʿEli, Elʿazar ha-Levi b. Menaḥem, Ephraim b. Ḥabib, Abraham b. Saʿīd Kohen, Ibrahīm b. Zakariyyā; Hillel b. Ṣedaqa, Yaḥyā ha-Levi b. Abraham, Moses b. Ṣemaḥ ha-Kohen, and Aaron ha-Kohen b. Sar Shalom (?) (שר שאלם). Verso: pen trials in various hands, including signatures and biblical phrases. The date Tevet 1397 (= 1085 CE) is written along with the names Mevorakh b. Mufarrij ha-Kohen (vocalised) and Ṣedaqa b. ʿAmram. (Information from CUDL)"
16801,"Recto: legal document, mentioning Abū l-Ḥasan and al-Maḡribī. Verso: alphabet, jottings. (Information from CUDL)"
16802,"Probably a legal document, mentioning Mufarraj b. Isaac and Joseph b. ʿAzarya. Arabic jottings below. (Information from CUDL)"
16803,"Recto: legal document, dated 1543 of the Seleucid Era (1232 CE), mentioning Elʿazar and Moses ha-Sar. Verso: Arabic jottings. (Information from CUDL)"
16804,"Recto: legal document, mentioning an orphan and the name Hiba; signed by Yeḥiʾel b. Eliakim. Verso: Arabic jottings. (Information from CUDL)"
16805,"Recto: legal document, mentioning Surūr, Abū l-Ḡayṯ and [...] b. Isaac; dated Nissan 15[..] of the Seleucid Era (12th-13th century). Verso: jottings. (Information from CUDL)"
16806,Legal document mentioning a certain Ibrahim. Signed by [...] b. Ḥalfon ha-Melammed. Verso: Arabic jottings. (Information from CUDL)
16807,Recto: Hebrew-Aramaic legal document. Verso: Arabic jottings. (Information from CUDL)
16808,"Recto: probably a legal document, referring to transactions and mentioning Ibn al-Bayrūtī and ‘in the hand of Abū ʿAlī ha-Levi’. Verso: jottings. (Information from CUDL)"
16809,"Legal document mentioning Abū Manṣūr, (Abū) Ṭāhir son of the elder [...], Abū l-[...] and Saʿadya; jottings on verso. (Information from CUDL)"
16810,"Recto and top of verso: Judaeo-Arabic legal text and poetical verses in Hebrew. Verso: declaration of receipt of a quantity of barley. Hiba b. Buqṭur b. […], companion of the Amīr Dhukhayrat al-Dawla Ḥaydara b. Muḥammad b. ʿAdnān, acknowledges the receipt of 1124 irdabbs of barley from Abū l-Ḥasan ʿAlī b. Judayd. The barley has been ‘conveyed to the coast with the lighthouse’. Dated 438 AH (= 1047 CE). (Information from CUDL)"
17113,"An halakhic discussion, might be from a responsum, written by Samuel b. Yaaqov, the French Rabbi who was active during Abraham Maimonudes' period. It appears to address ‘my lord’ and the verso is written upside down in relation to the recto. It seems to discuss halakhic or legal issues. It mentions various rabbis, including Moses (Maimonides), Hai Gaon, Joseph Halevi (Ibn Migash) and Yeḥiel (probably Yehiel b Elyaqim.) (AA)"
17284,"legal document, mentioning the elder Abū Isḥāq probably relates to marriage agreement. The monogamy clause is apparent. צIt is possible to assume that the bride was Karaite, based on the term ואנה לא יחללהא[ת ...] ט (AA)"
17383,"it is probably a legal document, under the jurisdiction of Avraham (Avraham Maimuni I or II). A certian Shiloh is mentioned. (AA)"
17520,"Recto: Hebrew legal deed of quittance, mentioning names such as Mawhūb b. [...] and Ezekiel b. [...]. Verso: possibly part of a discussion regarding books on Muslim fiqh. (Information from CUDL)"
17551,"Legal testimony in Arabic script, in which the writer complains about not having received a sum of money. Underneath, presumably witness signatures, Mevorakh b. Sar Shalom and Moses b. Maṣliaḥ are written in Hebrew characters. (Information in part from CUDL)"
18431,"Orders of payment, mentioning Abū ʿAlī. (Information from CUDL)"
18479,"Recto: a chancery decree in Arabic script, two lines only. Written around the text on recto and also on verso is the liturgy for Rosh ha-Shana, including the ʿamida for the additional service and a reshut, אחג כפתי ובער.  (Information from CUDL)"
18480,"State document, Ayyubid period, 1200–18. Petition to the Ayyubid sultan al-ʿĀdil regarding the capitation tax. The petitioner asks that his tax rate be modified from the middle rate (2 dinars), which he cannot afford to pay, to the lower rate. Ca. 596-615 AH (= 1200-1218 CE). On verso are some Hebrew poetical texts (possibly piyyuṭ) mentioning Iṣḥaq Khanāf (?).  (Information from CUDL)"
18519,"Recto: autograph medical recipe in the hand of Moses Maimonides, prescribing an emetic and other drugs. The ingredients used include sticky sugar, lemon juice, oxymel, melissa, and green mint. The fragment includes dietary advice to avoid unripe dates, jujube, green almonds, carob, green broad beans, carrots and vinegar; whereas raisins, pistachios, figs and nuts should be eaten for dessert. Verso: draft of a witness statement related to a court procedure. (Information from CUDL)"
18520,"Recto: medical recipes recommended as diuretics and diaphoretics, and advice on diet. Verso: legal document, explaining family relations. Mentions Mubāraka, Isaac, Joseph, Abraham b. Nathan and Ṣadoq Av Bet Din. (Information from CUDL)"
18549,"70 minute fragments (6 vellum; 64 paper) 47 of which are unidentified texts in Judaeo-Arabic (row 1, nos 1-2, 4, 6-8; row 2, nos 2- 4, 6; row 3, nos 1, 4; row 3, no. 6; row 3, no. 9; row 4, nos 1-10; row 5, nos 1-2, 5-6; row 6, nos 1-4, 6-11, 13; row 7, nos 1-6, 10-13); one is probably part of a legal document in Judaeo-Arabic, mentioning the name [...] b. Darmā (row 1, no. 5); one is probably part of a rabbinical work, mentioning the Mishna (row 2, no. 1); one is probably a medical text, mentioning the veins (אלערוק) (row 2, no. 5); four are part of a Bible commentary, quoting Job 36:15; Jeremiah 7:29; Ezra 9:3 (row 2, no. 7; row 4, no. 11; row 5, no. 7; row 7, no. 8); four are possibly Bible translations (row 2, no. 8; row 3, no. 5; row 6, nos 5, 12); one is Saʿadya’s translation of Job 36:6-9 and Job 36:20-23 (row 2, no. 9); one is probably a rabbinical work on nidda (row 3, no. 7); one is possibly a letter in Judaeo-Arabic (row 3, no. 8); one is a translation of Psalms 104:27-28 and 105:12 with Hebrew incipits and commentary, quoting Psalms 142:6 (row 5, no. 3); one is possibly a fragment from a grammatical work (row 7, no. 7); one is part of a Bible commentary (row 7, no. 9). (Information from CUDL)"
18560,"Recto: liturgical text in Hebrew. Verso: part of a deed of sale in which Makhlūf b. Jābir b. Nāṣir buys a house in al-Muʿizziyya (Cairo) from […] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī, one of two trustees of Cairene legacies, under the supervision of Abū l-Ḥasan Masarra b. ʿAbdallāh. Makhlūf’s father, Jābir b. Nāṣir, the miller, acts as his agent in the transaction. The house previously belonged to the wife of the Amir, Sitt al-Dawla, and is apparently now intestate, hence the involvement of the trustees. Ca. 11th-12th century. (Information from CUDL)"
18561,"Recto: liturgical text in Hebrew. Verso: part of a deed of sale in which Makhlūf b. Jābir b. Nāṣir buys a house in al-Muʿizziyya (Cairo) from […] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī, one of two trustees of Cairene legacies, under the supervision of Abū l-Ḥasan Masarra b. ʿAbdallāh. Makhlūf’s father, Jābir b. Nāṣir, the miller, acts as his agent in the transaction. The house previously belonged to the wife of the Amir, Sitt al-Dawla, and is apparently now intestate, hence the involvement of the trustees. Ca. 11th-12th century. (Information from CUDL)"
18563,"State document, Ayyubid period. Petition from Khuyalāʾ b. Ḥasan and Abū l-Jaysh to the caliph al-ʿĀdil regarding an iqṭāʿ in the district of Minyat Khalaf. The land for the iqṭāʿ formerly belonged to the amīr Muʾnis ʿAlī b. Jawl al-Mihrānī and, after he decamped, to Sayf al-Islām. Khuyalāʾ is asking for a decree that would allow him and Abū l-Jaysh to enter these lands. Ca. beginning of the 13th century. On verso is a Hebrew liturgical text. (Information from CUDL)"
18564,Recto: legal document concerning an inheritance. Verso: Hebrew prayers. (Information from CUDL)
18565,Recto: legal document concerning an inheritance. Verso: Hebrew prayers. (Information from CUDL)
18566,"F. 1r and f. 2: deed of sale for the purchase by Abū l-Faraj Ṣemaḥ b. Ṣedaqa b. Ṣemaḥ of part of a house in Fusṭāṭ from his uncle, Dāʾūd b. Ṣemaḥ, the Jewish indigo dealer. The house is part of the ‘Fortress of the Greeks’ and abuts the former church of St Michael, the oven of al-Jalāl, and the house of Maymūn b. Dāʾūd. Dated Shaʿbān 448 AH (= October-November 1056 CE). F. 1v: liturgical text in Hebrew. (Information from CUDL)"
18567,"Recto: liturgical text in Hebrew. Verso: part of a deed of sale in which Makhlūf b. Jābir b. Nāṣir buys a house in al-Muʿizziyya (Cairo) from […] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī, one of two trustees of Cairene legacies, under the supervision of Abū l-Ḥasan Masarra b. ʿAbdallāh. Makhlūf’s father, Jābir b. Nāṣir, the miller, acts as his agent in the transaction. The house previously belonged to the wife of the Amir, Sitt al-Dawla, and is apparently now intestate, hence the involvement of the trustees. Ca. 11th-12th century. (Information from CUDL)"
18568,"Recto: liturgical text in Hebrew. Verso: part of a deed of sale in which Makhlūf b. Jābir b. Nāṣir buys a house in al-Muʿizziyya (Cairo) from […] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī, one of two trustees of Cairene legacies, under the supervision of Abū l-Ḥasan Masarra b. ʿAbdallāh. Makhlūf’s father, Jābir b. Nāṣir, the miller, acts as his agent in the transaction. The house previously belonged to the wife of the Amir, Sitt al-Dawla, and is apparently now intestate, hence the involvement of the trustees. Ca. 11th-12th century. (Information from CUDL)"
18569,"Recto: probably a legal document, mentioning maintenance. Verso: possibly a prayer or sermon (?). (Information from CUDL)"
18570,"Recto: petition to the amir Qarāqūsh from Ṭāhir b. Isḥāq, a poor man from Alexandria. Ṭāhir had rented a shop in Alexandria from a Christian, and confirms that he has paid all the instalments of the rent and would like to be released in order to return to his family. Ca. the very end of the 12th century, as this was the time that Qarāqūsh served as regent for the young son of the Fatimid vizier after his father’s death, before he himself field in 1201 CE. Marginalia on recto: Judaeo-Arabic passage on the uniqueness of God on the fact that he created the earth and the sky, but was not created Himself. Verso: isolated blocks of text probably copied as a writing exercise, they include liturgical paragraphs and biblical quotations in Hebrew and the continuation of the Judaeo-Arabic text on recto. (Information from CUDL)"
18571,Bifolium f. 1: beginning of the ophthalmological treatise Tadkirat al-kaḥḥalīn by ʿAlī b. ʿĪsā with table of contents on f. 1r. F. 1v: colophon. Separate leaf: record of an ordinance dated Ṣafar 537 AH (= September 1142 CE) from Al-Ẓāfir to instruct Al-Hāfiẓ’s book warehouse to issue ‘the epistle of the elder ʿAlī b. ʿĪsā’ (i.e. the ophthalmological treatise Tadkirat al-kaḥḥalīn) to the amir Fakhr al-Dīn Abū Manṣūr ʿIzz al-ʿArab b. Muḥammad. (Information from CUDL)
18572,"Recto: part of a Karaite deed of betrothal, in which Jābir b. Azhar betroths Ḥusn bat Ḥayyim b. Sahlawaya. The witnesses to the appointing of the bride’s agent - probably her father - were Elʿazar b. Menashshe and Nathan b. […]. The groom is mistakenly referred to as Azhar b. Jābir at one point in the text. The date is lost but the bride’s father and grandfather are known from other documents from the early-mid 11th century, suggesting a date of ca. 1030s-1040s CE for this betrothal. The groom may be the same individual referred to in T-S 13J26.2, where he is described as a merchants’ representative in Tinnis. Verso: commentary on the creation of Adam and the notion of shame (possibly on Genesis 2:25), followed by a didactic teaching on ḥiddushim (innovative interpretations) and yediya (knowledge). (Information from CUDL)"
18573,"Part of a Karaite deed of betrothal, in which Jābir b. Azhar betroths Ḥusn bat Ḥayyim b. Sahlawaya. The witnesses to the appointing of the bride’s agent - probably her father - were Elʿazar b. Menashshe and Nathan b. […]. The groom is mistakenly referred to as Azhar b. Jābir at one point in the text. The date is lost but the bride’s father and grandfather are known from other documents from the early-mid 11th century, suggesting a date of ca. 1030s-1040s CE for this betrothal. The groom may be the same individual referred to in T-S 13J26.2, where he is described as a merchants’ representative in Tinnis. Verso: midrashic commentary on the creation of Adam. (Information from CUDL)"
18574,"Recto: unidentified legal document, mentioning Abū ʿAlī. Verso: pen trials and unidentified text. (Information from CUDL)"
18575,"Acknowledgment of a debt of 10 dinars contracted by […] b. ʿAlī, an inhabitant of the ‘residence of the bishop’, with Abū l-Ḥasan b. Asad b. Ismaʿīl ‘the Jew’. The sum must be repaid in 4 monthly instalments of 1/4 of a dinar each. Dated 519 AH (= 1125 CE). (Information from CUDL)"
18578,"Recto: end of a legal document concerning an inheritance and the sum of four dirhams, signed by Joseph ha-Kohen b. Ab[raham]. 11th century or earlier. Verso: piyyuṭim, the second introduced with אחר (‘another one’). (Information from CUDL)"
18579,"Recto: petition to the vizier of al-Ẓāfir Abū Ḥasan ʿAlī Ibn al-Salār regarding a fief worth 5500 dinars and a market worth 1000 faddān that were repossessed by the judge operating in Minyat Ḡamr, who did not return them even after the issue of a decree by the vizier. The petition indicates that some of the grounds in discussion are cultivated with sugar cane. Dated 544-548 AH (= 1149-1153 CE). On verso and between the lines of the petition on recto there are piyyuṭim including a seliḥa and a reshut. (Information from CUDL)"
18580,"State document. Petition to a Fatimid official titled ʿAmīd al-Dawla requesting that the state seize the petitioner's properties in Palestine because they are not producing revenue and are essentially abandoned, and the petitioner doesn’t want to incur further liability on them. This probably dates to just before the reassignment of iqṭāʿ properties in 1107-1108 CE, when state revenues had dwindled and government officials were harassing the owners of iqṭāʿāt for revenue. On verso there is Hebrew liturgical poetry. (Information from CUDL)"
18581,"State document, Ayyubid period. Petition to an Ayyubid ruler regarding the appointment of military personnel: ʿUmar b. Masʿūd, leader of the archers in Alexandria of long experience (since the day of al-Kāmil) is asking that two boys he trained be employed in his unit. Mid-13th century. On verso are the Hebrew piyyuṭim במה אקדם ומה אמר אליך and Abraham ibn Ezra, אם רח אבנים כחי, and a draft of the basmala and tarjama of the document on recto. (Information from CUDL)"
18582,"Recto: piyyuṭim. Verso: part of a deed of sale in which Makhlūf b. Jābir b. Nāṣir buys a house in al-Muʿizziyya (Cairo) from […] b. ʿAlī b. Ḥusayn b. Ibrahim b. ʿAlī, one of two trustees of Cairene legacies, under the supervision of Abū l-Ḥasan Masarra b. ʿAbdallāh. Makhlūf’s father, Jābir b. Nāṣir, the miller, acts as his agent in the transaction. The house previously belonged to the wife of the Amir, Sitt al-Dawla, and is apparently now intestate, hence the involvement of the trustees. Ca. 11th-12th century. (Information from CUDL)"
18583,"Recto: opening lines of a legal document dated Thursday 1st Shevet 4746 and 1297 (= 986 CE) in Fusṭāṭ, in which Shelomo b. Isaac gives testimony to the court. Verso: poem or sermon in Hebrew, continuing in the right and upper margins. (Information from CUDL)"
18584,Beginning of a report to a Fatimid caliph (11th-12th century) involving a woman. Verso: five lines of Judaeo-Arabic poetry and Coptic numerals. (Information from CUDL)
18585,"Recto: prenuptial agreement dated Sunday, 29 Kislev 1426 Sel. (= 1115 CE), mentioning Abū l-Ḥasan al-Ḥusayn, Ibrahīm al-Wajʿ, and the wife of Abū Saʿīd al-Ḍarīr. Verso: poem in Hebrew and accounts. Weights and commodities in Judaeo-Arabic; accounts in Arabic with Coptic numerals. (Information from CUDL)"
18586,"Recto: probably a legal document, mentioning Abū l-M[...]. Verso: Hebrew prayer. (Information from CUDL)"
18587,"Recto: legal document in Hebrew, Aramaic and Judaeo-Arabic, dated 14[.. Sel.] (= 12th century CE), mentioning Fusṭāṭ. Verso: unidentified text in Hebrew. (Information from CUDL)"
18588,"Recto: legal document, dated 1425 of the Seleucid era (= 1114 CE), relating to dowry payments after a divorce. Mentions Ezekiel and Abū ʿUmar David b. Yefet, and signed by Abraham b. Shemaʿya he-Ḥaver descendant of Shemaʿya Gaʾon and Isaac b. Shemuʾel the Spaniard. In the hand of Ḥalfon b. Menashshe. Verso: unidentified text; probably discussion in connection with Leviticus. (Information from CUDL)"
18589,"Recto: legal document, dated 1425 of the Seleucid era (= 1114 CE), relating to dowry payments after a divorce. Mentions Ezekiel and Abū ʿUmar David b. Yefet, and signed by Abraham b. Shemaʿya he-Ḥaver descendant of Shemaʿya Gaʾon and Isaac b. Shemuʾel the Spaniard. In the hand of Ḥalfon b. Menashshe. Verso: unidentified text; probably discussion in connection with Leviticus. (Information from CUDL)"
18590,"Recto: legal document, dated 1425 of the Seleucid era (= 1114 CE), relating to dowry payments after a divorce. Mentions Ezekiel and Abū ʿUmar David b. Yefet, and signed by Abraham b. Shemaʿya he-Ḥaver descendant of Shemaʿya Gaʾon and Isaac b. Shemuʾel the Spaniard. In the hand of Ḥalfon b. Menashshe. Verso: unidentified text; probably discussion in connection with Leviticus. (Information from CUDL)"
18591,Recto: legal document concerning a certain Sheʾeriṯ. Verso: unidentified. (Information from CUDL)
18592,"Recto: legal document, mentioning Ephraim ha-Levi and Naḥman ha-Kohen the cantor. Verso: unidentified text, mentioning Iraq, Esther and the book of Daniel, and including Hebrew citations. (Information from CUDL)"
18593,"Recto: unidentified. Verso: legal document, mentioning Ḥiba b. Sulaymān. (Information from CUDL)"
18594,"Recto: legal document, dated Tammuz 1474 Seleucid era (= 1163 CE), mentioning Abū Manṣūr the scholar. Verso: unidentified Arabic. (Information from CUDL)"
18595,Recto: tiny fragment from a legal document. Verso: unidentified. (Information from CUDL)
18596,"Recto: part of a Karaite betrothal deed for Naʿama bat Nisi b. Jacob and Barakāt b. Daʾud. Witnessed by Ḥasan b. Ṣedaqa Kohen, Isaac b. [...], Ṣedaqa b. Is[aac], Ezekiel b. Benjamin ha-Levi, Yefet b. Jacob, Elʿaza[r b. Samu]el b. Sahl ha-ʿEved, Moses b. A[...], Yaʿaqov b. Joseph, and Joseph b. ʿAzariah. Dated Elul (year not preserved) in Egypt. Verso: unidentified Arabic text. (Information from CUDL)"
18597,Recto: legal query in Judaeo-Arabic and Hebrew. Verso: unidentified Arabic text. (Information from CUDL)
18598,Recto: report to Al-Afḍal ibn Badr al-Jamālī for the attention of the amir Ḥusām al-Dawla regarding a quantity of unspecified produce that had been left unattended. The petitioner asks for new watchmen to be provided. Ca. 12th century. (Information from CUDL)
18599,"Receipt relating to the tax farm of Abū l-Ḥasan b. Wahb written by Mīkhāʾīl b. ʿAbd al-Masīḥ, the cashier, and registered by the Office of Accounts on behalf of the Office of Supervision: the people of the town of al-Shūbays have paid two and a half (dirhams?), under the supervision of the judge Ṯiqat al-Mulk Makīn al-Dawla wa-Amīnuhā, of the protégé of the commander of the faithful Abū l-Ḥasan ʿAlī b. Bahār, the deputy judge Abū ʿAlī al-Ḥasan b. Yaḥyā b. Bahār and the elder accountant Sadīd al-Dawla Abū l-Faraj ʿAbd al-Masīḥ b. Qūrīl. Dated 22nd Jumādā I 403 AH (= December 1012 CE). (Information from CUDL)"
18600,"Question to Muslim jurisconsults regarding the practice of prostration and genuflection, during the synagogue liturgy. The said practice was customary for the previous 20 years, and there are concerns regarding its recent abrogation. Dated 638 AH (= 1240 CE). Writing exercises are found on the upper margin of recto and on verso. (Information from CUDL)"
18601,"Recto: Hebrew prayer. Verso: last lines of an autograph responsum by Maimonides, and part of a liturgical text in Hebrew. (Information from CUDL.) See Outhwaite, B. (2007). ""Two New Responsa of Moses Maimonides."" [Genizah Research Unit, Fragment of the Month, April 2007]. https://doi.org/10.17863/CAM.34048. "
18602,"Partnership agreement between Saʿadya ha-Kohen b. Menashshe and Abū Isḥāq Abraham b. Ephraim, with a capital of 15 dinars. Verso contains a list in Arabic script. (Information from CUDL)"
18603,"Recto: record of the testimony of Zerubabel and Nisan b. David, and referring to Isaac b. Zerubabel. Verso: list of the quoted authorities in Pirqe Avot with talmudic cross-references, starting with Yehoshuaʿ b. Peraḥya. (Information from CUDL)"
18604,"Recto: partnership agreement between butchers, named Dāʾūd Kohen, Ezra Bargut (ברגות) and Saʿīd b. Nissim. Verso: list of names and numbers, and mirrored text. (Information from CUDL)"
18606,"Recto: probably part of trousseau list, mentioning vessels and values. Verso: marriage (betrothal) settlement, mentioning the sum of 10 dinars, signed; names mentioned: Manṣūr, Ḥiyya b. Isaac and [Nath]an b. Shemuʾel he-Ḥaver. (Information from CUDL)"
18607,"Fragment from a legal document, possibly a trousseau list. (Information from CUDL)"
18608,"Fragment from a legal document, possibly a trousseau list. (Information from CUDL)"
18609,Trousseau list relating to a ketubba. (Information from CUDL)
18610,"Legal document relating to a ketubba (trousseau list), mentioning the groom [...] son of the late [...] ha-Levi ha-Parnas and the bride Mubāraka. (Information from CUDL)"
18611,"Legal testimony in the hand of Ḥalfon b. Menashshe. No signatures, and probably unfinished. It concerns the death of the trader Tamīm b. Yaʿaqov ha-Kohen in Yemen (diyār al-Yaman), and presumably his estate. Mentions the local ruler (sulṭān tilka l-diyār). On verso, there is a document with list of names, such as Yefet, ʿAllūn and [...] Ibn al-Ṣabbāgh (the dyer). (Information in part from CUDL)"
18612,"Recto: copy of a legal document, concerned with marital arrangements (for example the husband will not forbid his wife to visit her mother and brother). Verso: list of names such as Abū l-Khayr, Ibn Saʿd and Abū [...]. (Information from CUDL)"
18613,"Recto: deed in which a man and his sons gift a house to an adult woman, ʿAʾisha (known as al-Wuḥsha), the daughter of the owner. Mentions Abū l-Qāsim ʿUbaydallāh, Abū Manṣūr Jaʿfar, and Abū […] Hibatallāh. Witnessed by ʿAbdallāh b. Muḥammad Ibn Khalaf and ʿUbaydallāh Ibn Rajaʾ. Ca. 11th-12th century. Verso: list of books in Judaeo-Arabic mentioning a Massekhet Berakhot by Isaac al-Fāsī. (Information from CUDL)"
18614,"Recto: deed of sale for part of a house in Fusṭāṭ. The parties are ʿAbdallāh b. Ṭāhir, the moneychanger, and Muḥammad b. Ṭāhir, the carpet dealer. Ca. 11th-12th century. Verso: Arabic note, apparently unrelated to the document on recto. (Information from CUDL)"
18615,"Recto: beginning of a testimony, dated Elul [...] of the Seleucid Era. Verso: short note. (Information from CUDL)"
18616,"Recto: Arabic legal document. Verso: note concerning payment, mentioning Abū l-Barakāt. (Information from CUDL)"
18617,Recto: probably a betrothal contract between a bride Sitt al-Ahl bat Abraham ha-Levi and a groom Manṣūr b. ʿAlī. Verso: fragment of a document in Judaeo-Arabic referring to Abū ʿImrān. (Information from CUDL)
18618,"Recto: betrothal deed between R. Ephraim ha-Talmid b. Meshullam and Yeshuʿa ha-Levi b. Ṣedaqa al-Ramlī for his daughter Sitt al-Fakhr. The advanced gift is 15 dinars, the delayed gift 50 dinars (though 60 is written above the line). Verso: part of an Arabic document, probably from the Fatimid chancery. (Information from CUDL)"
18619,"Two betrothal contracts. See individual records. The hand is very close to that of the clerk who wrote many of the letters of Yehoshua Maimonides (d. 1355); perhaps a coincidence, or perhaps he had a long life. "
18620,"Records of three betrothal agreements. The first is a receipt dated Monday, first day of Pesaḥ, mentioning the groom Jacob Ḥanan b. Joseph Ḥanan and the bride Kaḥla bat David Jannāḥ. The second mentions the groom Ephraim Ḥakīm b. Elihu Ḥakīm and Suqar (?) bat Shemuʾel ha-Levi, dated Nisan 5577 of the Era of Creation (= 1817 CE) in Cairo. The third mentions the groom Menaḥem Wadish b. Shelomo, and the bride Miriam bat Elijah ʿAṭias. Ephraim Ḥakim acts as a representative of the bride. Dated 5578 of the Era of Creation (= 1818 CE). (Information from CUDL)"
18622,"Part of a Karaite deed of betrothal for Khalaf b. Maḥfūẓ (groom-to-be) and Ama al-Qādar b. Ephraim b. Manṣūr b. Furāt (bride-to-be). Dated Thursday, 17th Sivan 1357 (= 1045 CE; note interlinear reference to Tammuz), probably in Fusṭāṭ, in the lifetime of the Nasi David b. Ṣemaḥ. There are quotes from Psalms 69:13, Nehemiah 2:18, Psalms 64:11, Hosea 2:21, Deuteronomy 1:11, 7:14, and with testimony from Barakāt b. Menaḥem ha-Kohen, and Yefet b. Abraham ha-Levi. Witnessed by Ṣedaqa b. Maṣliaḥ b. Sahl ha-Levi, David b. Isaac b. Moses ha-Levi, ʿAlān b. Nahum, Joseph b. [...] b. Ephraim, David b. [...], and [...] b. Nahum. (Information from CUDL)"
18623,Legal documents in the hand of Ḥalfon b. Menashshe. Recto: betrothal deed between [...] b. ʿEli (known as Ibn Ḥunayn) and the daughter of Ṭahor. Verso: legal document concerning a house. (Information from CUDL)
18624,"A geṭ, dated Shevet 1[5]40 (= 1229 CE) in Fusṭāṭ. Verso contains the receipt. (Information from CUDL)"
18626,"Geṭ from Fusṭāṭ, dated Sivan 1455 Sel. (= 1144 CE). The parties are Saʿadya ha-Kohen b. Yakhin and Sitt al-Dār bat Ḡālib, with witnesses Munajjā ha-Parnas b. Shelomo and Nathan b. Shemuʾel he-Ḥaver. (Information from CUDL)"
18628,"Geṭ of Hillel ha-Levi b. Ḥalfon and Sitt al-Ḫawā bat [...], dated Tammuz 1[4]50 of the Seleucid era (= 1139 CE) and signed by Moses b. Ṣadoq and Ḥalfon b. Nathan, in Cairo (אלמעזיה אלקאהרה). Verso contains the receipt, including the name ʿEli ha-Kohen. (Information from CUDL)"
18629,Part of a divorce deed (geṭ) signed by Ḥalfon ha-Kohen b. Elʿazar and Sar Shalom b. Shelomo (second half of the 11th century CE). (Information from CUDL)
18630,"Geṭ for Hilāla bat […] (הלאלה), dated 143[.] (= 1118-1128 CE) in Egypt. The witnesses’ names are repeated in a note on the verso: ʿEli ha-Levi b. Nathaniel ha-Levi and Hillel b. Joseph the Cantor, the Babylonian. (Information from CUDL)"
18631,"Recto: geṭ for [...] b. Menaḥem (husband), dated Iyar [...]3 in Egypt. Verso: witnessed receipt, signed by [Ḥalfon b.] Menashshe (1100-1138 CE), and […] b. Moses he-Ḥaver. (Information from CUDL)"
18632,"Geṭ (divorce deed) witnessed by Ḥalfon ha-Kohen b. Elʿazar and Shemuʾel b. Mevasser ha-Melammed. Ca, 13th century. (Information from CUDL)"
18633,Bill of divorce between Kulla bat Yefet and Ṣedaqa (?) [...]. Written in the hand of Ḥalfon b. Menashshe and signed by Isaac b. Shemuʾel ha-Sefardi and Ḥalfon b. Menashshe on recto and (attesting the delivery) on verso (partly embellished). (Information from CUDL)
18634,"Recto: geṭ of Tamīm b. Shelomo and Nafīsa bat David; signed by Joseph ha-Levi he-Ḥaver b. Ḥalfon and Joseph b. Naḥmān. Verso: another legal document, possibly a draft, mainly in Judaeo-Arabic, followed by jottings, mentioning the agent Ṣadoq ha-Kohen. (Information from CUDL)"
18635,"Draft of a ketubba from Fusṭāṭ, dated 1301, written under the authority of the Nagid Abraham b. David b. Abraham Maimonides. (Information from CUDL)"
