pgpid,names,location,date,date_standard,author
2763,"['Abu Nasr B. Banin', 'Abraham Maimonides']",Minya,N/A,N/A,Abraham Maimonides
2764,['Eleazar B. Yoshiyya'],N/A,N/A,N/A,Eleazar B. Yoshiyya
2771,"['Abraham B. Isaac', 'Abu Sad Hibatallah', 'Yakhin Ha-meshorer']",al-Maḥalla,N/A,N/A,Abraham B. Isaac
2773,"['Nathan B. Mansur', 'Abu Kathir']",Malij,1092,1092 CE,Nathan B. Mansur
2774,"['Abu Hayy B. Salih', 'Barhun B. Moses Al-tahirti']",Palermo,ca. 1050,ca. 1050,Abu Hayy B. Salih
2776,['Mevorakh B. Saadya'],al-Mahalla,1094-1111,CE,Mevorakh B. Saadya
2777,[],N/A,N/A,N/A,N/a
2781,"['Eli Keton Ha-haverim', 'Josiah Ha-nasi B. Solomon Ha-nasi', 'Abu Ala']",N/A,N/A,N/A,Eli Keton Ha-haverim
2782,"['Judah B. Moses', 'Daniel B. Azarya', 'Abu Faraj Joseph B. David', 'Nissim B. David B. Sughmar']",N/A,N/A,N/A,Judah B. Moses
2784,"['Berakot B. Hibat Allah Al-jafari', 'Abu Ala Said B. Munajja', 'Ulla B. Joseph']",Fustat,N/A,N/A,Berakot B. Hibat Allah Al-jafari
2785,['Solomon B. Elijah'],N/A,late 12th century,late 12th century,Solomon B. Elijah
2787,"['Abun B. Sadaqa', 'Nahray B. Nissim', 'Israel B. Nathan']",Jerusalem,after 1063,CE,Abun B. Sadaqa
2789,"['Eleazar B. Abraham', 'Mevorakh B. Saadya', 'Abu Ali Husayn B. Joseph']",N/A,before 1078,CE,Eleazar B. Abraham
2790,"['Abraham Son Of Gedol Ha-gola Netanel', 'N/a']",N/A,N/A,N/A,N/a
2791,"['Isaiah B. Isaac', 'Abu Abraham Ismail B. Abraham']",Cairo,N/A,N/A,Isaiah B. Isaac
2792,"['B. Hayyim', 'Hayya']",N/A,N/A,N/A,N/a
2793,"['Amram B. Moses Al-barqi', 'Mevorakh B. Saadya']",Alexandria,late in Mevorakh's life,N/A,Amram B. Moses Al-barqi
2795,"['Samuel B. Abraham', 'Abu Isaac Abraham B. Shabbetai', 'Al-turfa', 'Sahlan B. Abraham']",Fustat,Early 11th century,Unknown,Samuel B. Abraham
2796,"['Ismail B. Barhun Taherti', 'Abu Surur Isaac B. Barhun', 'Tahir']",Mahdiyya,11th century,11th century CE,Ismail B. Barhun Taherti
2798,"['Abu Surri', 'Mevorakh B. Saadya', 'Joseph B. Asad B. Qirqas', 'Al-afdal']",Alexandria,1094,1094 CE,Mevorakh B. Saadya
2803,['Abraham B. Farah Al-iskandarani'],Alexandria,1056 CE,1056 CE,Abraham B. Farah Al-iskandarani
2805,"['Meir B. Al-hamadani', 'Elijah']",N/A,Early 13th century,13th century CE,Meir B. Al-hamadani
2811,"['Abu Mahasin', 'Abu Mansur', 'Abu Wahsh Siba', 'Rabbenu Bahye', 'Al-kohen Al-siqilli', 'Abu Faraj Al-sharabi']",Fustat,N/A,N/A,Sitt Ghazal Bt. Abu Umar
2812,"['Azza Al-ibilliniyya', 'Azza Al-ibilliniyyas Daughter']","Ibillin, Fustat, Aleppo",N/A,N/A,Azza Al-ibilliniyyas Daughter
2813,"['Abu Nasr', 'Abu Zikri']",N/A,N/A,N/A,The Writer
2814,"['Abu Baqa', 'Abu Imran', 'Rahman B. Haydara', 'Al-shaykh Al-sadid Al-tabib', 'Alam Al-din', 'Jalal Al-din', 'Al-faqih Al-mudarris', 'Umm Sulayman', 'Sitt Misk', 'R. Menahem']",Outside of the capital (probably Fustat),N/A,N/A,Abu Baqa
2817,"['Abu Mansur B. Abu Faraj', 'Mother Of Abu Mansur', 'Wife Of Abu Mansur']",Cairo,N/A,N/A,Abu Mansur B. Abu Faraj
2818,['Al-shulal B. Abraham'],N/A,15th-16th century,N/A,N/a
2822,"['Abu Khayr', 'Abu Nasr Mahfuz', 'Abu Bishr', 'B. Al-abzari', 'Abu Muna B. Hiyya']",Minyat Zifta,N/A,N/A,Abu Khayr
2823,['Tamim B. Tobias'],Aleppo,around 1036-1037,CE,Tamim B. Tobias
2824,"['Mansur B. Salim', 'Elijah The Judge']",Alexandria,N/A,N/A,Mansur B. Salim
2825,"['Yefet B. Manasseh B. Al-qataif', 'Perahya', 'Abu Muna']",N/A,N/A,N/A,Yefet B. Manasseh B. Al-qataif
2826,['Yefet'],Fustat,N/A,N/A,Unknown
2828,"['Samuel', 'B. Ghiyath']",N/A,N/A,N/A,Samuel
2831,"['Mevorakh B. Nathan', 'Eleazar']",N/A,Second half of the 12th century,N/A,Mevorakh B. Nathan
2832,['N/a'],N/A,N/A,N/A,N/a
2833,"['Yahya B. Saadya', 'Abu Nasr Judah Al-dimashqi', 'Abu Fadl']",Ascalon,N/A,N/A,Yahya B. Saadya
2834,"['Isaac B. Judah Al-dimashqi', 'Sad Al-mulk', 'Suhayl']",Alexandria,N/A,N/A,Daniel B. Jacob
2835,"['Abraham', 'Rahel', 'Habiba', 'Jacob', 'Hayyim']",Fustat,"Probably no earlier than 14th century, and conceivably much later",N/A,Avrahams Mother
2837,"['Halfon B. Judah', 'Abu Farah Arus B. Joseph']",N/A,N/A,N/A,Halfon B. Judah
2838,"['Zikri B. Abu Rida', 'Abu Mahasin']",N/A,N/A,N/A,Zikri B. Abu Rida
2839,"['Isaac B. Joseph Jerusalem', 'Abu Mansur Eleazar']",Jerusalem,N/A,N/A,Isaac B. Joseph Jerusalem
2840,['Isaac B. Abu Munajja'],North Africa,N/A,N/A,Isaac B. Abu Munajja
2841,"['Makhluf B. Moses B. Al-yatim', 'Abu Isaac Abraham B. Yahya Fasi']",Alexandria,N/A,N/A,Makhluf B. Moses B. Al-yatim
2842,['Mansur B. Salim'],Alexandria,N/A,N/A,Mansur B. Salim
2846,"['Farah B. Joseph Qabisi', 'Abu Ala Said B. Naja Al-dimashqi', 'Ulla B. Joseph']",Alexandria,ca. 1065,1065,Farah B. Joseph Qabisi
2851,"['Abraham B. Saadya', 'Moses B. Abraham Al-tahirti', 'Isaac']",Fustat,N/A,N/A,Abraham B. Saadya
2852,[],N/A,N/A,N/A,N/a
2857,"['Sahlan B. Abraham', 'Ephraim B. Shemarya']",N/A,ca. 1030 CE,1030 CE,Sahlan B. Abraham
2860,['N/a'],Fustat/Cairo,11th century,N/A,N/a
2865,['Abu Berakot'],N/A,N/A,N/A,Abu Berakot
2866,"['Isaac B. Sadaqa', 'Samuel']","Tripoli, Libya",October 1136,October 1136,Isaac B. Sadaqa
2868,"['Samuel B. Hananya', 'Shabbetai B. Abraham']",N/A,ca. 1150,ca. 1150,Shabbetai B. Abraham
2871,"['Samuel B. Hananya', 'Shabbetai B. Abraham']",N/A,ca. 1150,1150,Shabbetai B. Abraham
2872,"['Yahya B. Moses Al-majjani', 'Barhun B. Salih Al-tahirti', 'B. Farah Al-fasi', 'Abu Husayn Al-mubarak B. Isaac', 'Al-shiraji']",Mahdiyya,1045,1045,Yahya B. Moses Al-majjani
2873,"['Abu Faraj Joshua B. Shabbetai', 'Shabbetai']",N/A,N/A,N/A,N/a
2874,"['Shela B. Mevasser', 'Judah B. Joseph']",N/A,N/A,N/A,Shela B. Mevasser
2875,['Sahlan B. Abraham'],N/A,N/A,N/A,Sahlan B. Abraham
2876,"['Mevorakh B. Saadya', 'Judah B. Saadya']",N/A,1065-1078,1065-1078,Unknown
2877,"['Mansur B. Salim', 'Moses', 'Moses']",Alexandria,N/A,N/A,Mansur B. Salim
2878,"['Abu Zikri', 'Abu Ali', 'Abu Hasan']",Rīf,N/A,N/A,Abu Zikri
2879,"['Sadan B. Thabit Al-baghdadi', 'Abu Afrah Ar[us] B. Joseph', 'Jacob B. Nissim']",Tripoli,ca. 1130,CE,Sadan B. Thabit Al-baghdadi
2880,"['The Scion Of The House Of David', 'Nasi Solomon', 'Rabbenu Menahem']",Mosul,circa 1236,1236 CE,The Scion Of The House Of David
2881,"['Abraham The', 'Mufarriq Al-quppa', 'Samuel', 'Haver']",Alexandria,N/A,N/A,N/a
2883,"['Eli B. Amram', 'Elhanan B. Shemarya', 'Joseph B. Abraham']",N/A,N/A,N/A,Eli B. Amram
2884,"['Nathan B. Solomon', 'Abu Husayn Ephraim B. Joseph']",Damietta,ca. 1125-1150,N/A,Nathan B. Solomon
2886,"['Umm Abu Zikri', 'Moses', 'Sitt Al-jamal', 'Umm Hayyun', 'Ajami']",N/A,N/A,N/A,R. Joseph
2887,"['Moses B. Levi', 'Abu Hasan', 'Sharaf Al-dawla']",Qalyub,N/A,N/A,Moses B. Levi
2890,"['Eli B. Hillel', 'Halfon B. Manasseh', 'Sitt Al-fakhr']",N/A,N/A,N/A,Eli B. Hillel
2893,"['Avdukia Al-rumiyya', 'Rini', 'Kalev Al-sofer', 'Abraham', 'Moses']",al-Mahdiyya,N/A,N/A,The Woman
2894,"['Mevorakh B. Nathan B. Samuel', 'Netanel B. Abraham', 'Abu Bayan Moses B. Al-ahuv', 'Sar Solomon']","al-Mahallah, Rif",N/A,N/A,Mevorakh B. Nathan B. Samuel
2896,"['Abu Hasan B. Makhluf', 'Relative Of Abu Hasan B. Makhluf']",Cairo,N/A,N/A,Relative Of Abu Hasan B. Makhluf
2898,"['Abu Zikri', 'Al-shaykh Al-kohen Abu Fakhr']",N/A,N/A,N/A,Abu Zikri
2899,"['Ayyash B. Sadaqa', 'Nahray B. Nissim']",Fustat,N/A,N/A,Ayyash B. Sadaqa
2900,"['Tovia B. Judah B. Tovia', 'Samuel The Cantor']",al-Mahalla and Sammanūd,N/A,N/A,Tovia B. Judah B. Tovia
2901,"['Aaron B. Joshua B. Al-ammani', 'Aharons Father', 'Aharons Son']",N/A,N/A,N/A,Aaron B. Joshua B. Al-ammani
2905,"['Moses B. Levi', 'B. Jacob', 'Abu Rida', 'Sitt Ziyadah', 'Tahir B. Al-ghuzzi', 'Saadah', 'B. Al-taffal', 'B. Al-numan']",Qalyub,N/A,N/A,Moses B. Levi
2907,"['Yahya B. Yaish', 'Abraham B. Hasan Sad', 'Three Brothers', 'Someone']",N/A,xx32 (perhaps 1632/1320-21 or 5632/1871 CE),xx32 (perhaps 1632/1320-21 or 5632/1871 CE),Yahya B. Yaish
2909,"['Abu Imran', 'Abu Rida', 'Abu Faraj', 'Isaac']",Qus,N/A,N/A,N/a
2910,"['Elijah B. Zechariah', 'Abraham Maimonides']",Bilbays,N/A,N/A,David
2912,"['Abu Fadl B. Sahl', 'Abraham B. Salhun', 'Joseph', 'Nahray', 'Sadaqa', 'Aaron']",N/A,N/A,N/A,Abu Fadl B. Sahl
2913,"['Joshua B. Abraham Ha-galili', 'Ephraim B. Meshullam', 'Rabbenu Zakkay']",Shubra Damsīs,1142 CE,1142 CE,Joshua B. Abraham Ha-galili
2914,"['Moses B. Levi', 'Al-siqilli']",Qalyub,N/A,N/A,Moses B. Levi
2920,"['Daniel B. Azarya', 'Eli B. Amram']",N/A,11th century,N/A,Daniel B. Azarya
2925,['N/a'],N/A,N/A,N/A,N/a
2927,['B. Brother'],N/A,N/A,N/A,N/a
2929,"['Benaya B. Moses', 'Abu Husayn Sadaqa B. Nissim', 'Abu Imran']",Abyar,N/A,N/A,Benaya B. Moses
2937,"['Moses B. Abu Hayy', 'Abu Afrah Abraham B. Joseph']",Alexandria,ca. 1080,CE,Moses B. Abu Hayy
2938,"['Abu Al-mahasin', 'Sitt Ghazal Bt. Abu Amr', 'Samuel B. Saadya', 'Abu Mahasin B. Sitt Ghazal']",Alexandria,undated,1165-1203 CE,Abu Al-mahasin
2939,"['Abraham B. Farah', 'Isaac B. Ali Majjani', 'Nahray B. Nissim']",Fustat,N/A,N/A,Abraham B. Farah
2941,"['Moses B. Abu Hayy', 'Nahray B. Nissim']",Alexandria,ca. 1055,CE,Moses B. Abu Hayy
2943,"['Abu Nasr B. Al-melammed', 'Abu Nasrs Nephew', 'Abu Nasrs Niece', 'Abu Nasrs Wife']",Fustat and Alexandria,N/A,N/A,Abu Nasr B. Al-melammed
2944,"['Nissim B. Isaac Al-tahirti', 'Abu Zakariya Hayyim B. Ammar', 'Barhun B. Salih Al-tahirti']",Susa,ca. 1052,CE 1052,Nissim B. Isaac Al-tahirti
2945,"['Jacob B. Ismail Al-andalusi', 'Joshua B. Nathan']",Fustat,ca. 1050,N/A,Jacob B. Ismail Al-andalusi
2948,"['Zikri B. Musallam B. Al-naja Al-tabib', 'Abraham']",Fustat,N/A,N/A,"Zikri B. Musallam B. Al-naja Al-tabib, Abraham"
2949,"['Abraham Al-dimashqi B. Yitro', 'Mevorakh B. Isaac', 'Yitro', 'Isaac']",N/A,N/A,N/A,Abraham Al-dimashqi B. Yitro
2950,"['Mevorakh B. Nathan', 'Sar Solomon']",al-Maḥalla,N/A,N/A,Sar Solomon
2951,"['Barhun B. Moses Al-tahirti', 'Moses']",Ascalon,ca. 1045,1045,Barhun B. Moses Al-tahirti
2953,"['Abraham B. Isaac', 'Joshua B. Ismail', 'Nahray B. Nissim']",Fustat,N/A,N/A,Abraham B. Isaac
2961,"['Joseph B. Mukhtar', 'Elijah', 'Mufaddal B. Al-maqdisi']",Bilbays,N/A,N/A,Joseph B. Mukhtar
2971,"['Sar Solomon', 'Mevorakh B. Nathan']",Unknown,Iyyar 1186,1186 CE,Mevorakh B. Nathan
2974,"['Moses B. Samuel B. Jami', 'Hayya']",Fustat,N/A,N/A,Moses B. Samuel B. Jami
2975,"['Judah B. Aaron B. Al-ammani', 'Abu Majd Meir B. Yakhin', 'Anatoli The Judge', 'Sadaqa B. Samuel B. Al-ammani', 'Mufaddal', 'Abraham Maimonides', 'Abu Sad B. Nanu', 'Abu Al-rabi Al-kohen']",Alexandria,"14 Iyyar, 1216 CE",1216 CE,Judah B. Aaron B. Al-ammani
2977,['Eleazar B. Solomon'],N/A,N/A,N/A,Eleazar B. Solomon
2979,['Abraham B. Nathan'],N/A,N/A,N/A,Abraham B. Nathan
2984,['Nehemiah B. Perahya'],Damsis,N/A,N/A,Nehemiah B. Perahya
2998,"['Barhun B. Salih Al-tahirti', 'Nahray B. Nissim']",Busir,ca. 1046,N/A,Barhun B. Salih Al-tahirti
2999,"['Joseph B. Jacob B. Awkal', 'The Tustari']",Palermo and Mazara,beginning of the 11th century,N/A,Joseph B. Jacob B. Awkal
3001,"['R. Elijah The Dayyan', 'R. Samuel', 'Ras Al-jaliya', 'Abraham', 'Sulayman', 'Al-nasi Shams Al-din Rosh Ha-galut']",Alexandria,N/A,N/A,R. Elijah The Dayyan
3002,"['Abu Said Al-bazzaz', 'Abu Berakot B. Yefet', 'Abu Fakhr B. Al-mashati', 'Abu Nasr', 'Zayn']",Alexandria,N/A,N/A,Abu Said Al-bazzaz
3003,['Amram B. Moses'],Unknown,Unknown,Unknown,Unknown
3007,"['Abu Mansur', 'Saniyy Al-dawla']",N/A,N/A,N/A,Abu Mansur
3010,"['Abu Nasr B. Joseph', 'Abu Najm Hillel', 'Rayyis Arafat']",N/A,N/A,N/A,Abu Surur B. Tarif
3011,"['Solomon B. Joseph', 'Ephraim B. Shemarya']",N/A,after 1030,after 1030,Solomon B. Joseph
3013,"['Al-mubarak B. Joseph B. Yezdad', 'Joseph B. Benjamin', 'Hasan B. Tayyib', 'Abu Abraham Ismail B. Abraham']",Fustat,N/A,N/A,Al-mubarak B. Joseph B. Yezdad And Joseph B. Benjamin And Hasan B. Tayyib
3014,['N/a'],N/A,N/A,N/A,N/a
3017,"['Abu Rida Al-wathiq', 'Joseph', 'Abu Baha Al-dimashqi', 'Thiqa Al-dimashqi', 'Abu Ali', 'Abu Zikri', 'Abu Mahasin B. Sitt Ghazal', 'Sitt Ghazal']",N/A,Ca. 1210 CE,Ca. 1210 CE,Abu Rida Al-wathiq
3037,"['Mubarak B. Isaac B. Sabri', 'Abu Faraj Nissim']",N/A,N/A,N/A,Mubarak B. Isaac B. Sabri
3041,"['Unknown', 'Oded Zinger']","Jerba, Ifrīqiya",N/A,N/A,Unknown
3044,"['Nathan B. Judah', 'Sasson B. Meshullam', 'Abraham B. Jacob Dari', 'Mevorakh B. Saadya', 'Abu Fadl', 'Samuel']",Alexandria,N/A,N/A,Nathan B. Judah
3048,['Tahir'],Fustat,N/A,N/A,N/a
3049,['Abu Nasr B. Al-melammed'],Alexandria,N/A,N/A,Abu Nasr B. Al-melammed
3052,"['Yefet', 'Abu Berakot']",Fustat (bāb qaṣr al-shamʿ),N/A,N/A,Yefet
3055,"['The Son', 'His Father', 'B. Habib', 'Khatir']",Minyat al-Qa'id,N/A,N/A,The Son
3062,"['Abraham B. Salhun', 'Masliah B. Moses B. Salhun']",Fustat,N/A,N/A,Masliah B. Moses B. Salhun
3063,"['Mevorakh B. Sadya', 'The Leader Of The Jewish Community In A Small Town', 'The Qadi']",N/A,1094-1111,CE,Mevorakh B. Sadya
3074,['Rayyisa'],N/A,N/A,N/A,N/a
3077,"['Umm Sitt Al-nas', 'Abu Fadl B. Sabra', 'Abu Umar B. Sabra', 'Mevorakh B. Abraham B. Isaac B. Sabra']",N/A,N/A,N/A,Umm Sitt Al-nas
3080,"['Abu Hayy B. Barhun Khalila', 'Barhun B. Moses Tahirti']",al-Mahdiyya,N/A,N/A,Abu Hayy B. Barhun Khalila
3081,"['Samuel B. Hananya', 'Samuel B. Nathan']",al-Mahalla,N/A,N/A,Samuel B. Hananya
3083,"['Nissim B. Isaac Al-tahirti', 'Moses B. Abi Al-hayy Khalila']",Mahdiyya,September 1051,September 1051,Nissim B. Isaac Al-tahirti
3085,['Masliah B. Elijah'],N/A,N/A,N/A,Masliah B. Elijah
3087,"['Eli B. Amram', 'Mubaraka']",N/A,third quarter of the 11th century,11th century,Eli B. Amram
3089,"['Judah B. Joseph', 'Sulayman B. Joseph']",N/A,N/A,N/A,Judah B. Joseph
3094,['Jacob B. R. Hanukkah'],Fustat,10th century,10th century CE,Jacob B. R. Hanukkah
3104,['N/a'],Alexandria,1052,1052 CE,N/a
3105,"['Judah B. Joseph', 'Ismail B. Barhun Al-tahirti', 'Ayyash B. Nissim', 'Zirid Sayyida']",Qayrawan,ca. 1020,1020 CE,Judah B. Joseph
3107,"['Tovia B. Eli', 'Nathan B. Solomon', 'Baha']",Fustat,1122-50,CE,Tovia B. Eli
3110,"['Nissim B. Berekhya', 'Barhun B. Salih Al-tahirti']",Qayrawan,N/A,N/A,Nissim B. Berekhya
3111,"['Joseph B. Khalluf', 'Khalluf B. Farah B. Al-zarbi', 'Joseph B. Khalluf B. Farah']",Qayrawan,ca. 1030,ca. 1030 CE,Joseph B. Khalluf
3112,['Sar Solomon'],N/A,1219,1219 CE,Sar Solomon
3114,"['Ismail B. Barhun Al-tahirti', 'Mawlat']",al-Mahdiyya,ca. 1020,ca. 1020 CE,Unknown
3116,"['Farah B. Joseph', 'Abu Sad Khalluf B. Sahl']",Alexandria,October 1056,CE,Farah B. Joseph
3118,"['Isaac B. Abraham B. Ezra', 'Isaac B. Ovadya', 'B. Al-fakhkhar', 'Mar Joseph']","Toledo, Spain",N/A,N/A,Isaac B. Abraham B. Ezra
3119,"['Abu Fadl Mevorakh B. Abraham', 'Shemarya B. Ephraim']",N/A,ca. 1070,ca. 1070,Shemarya B. Ephraim
3122,"['Abu Hasan Yedutun B. Abu Sahl Levi', 'Levi', 'Moses B. Levi', 'Abu Bayan', 'Abu Fadl', 'Abu Mufaddal The Judge', 'Moses']",Fustat,circa 1236 CE,1236 CE,Abu Hasan Yedutun B. Abu Sahl Levi
3123,"['Abu Khayr', 'Mansur Al-dhabbah', 'B. Al-dihqan']",Fustat,N/A,N/A,Author Unknown
3124,"['Shemuels Wife', 'Masliah', 'Samuel']",al-Maḥalla,N/A,N/A,Shemuels Wife
3125,"['Joseph', 'Abu Faraj B. Abu Berakot']",Alexandria,13th century,13th century CE,Joseph
3127,"['Tovia B. Eli', 'Nathan B. Solomon']",Fustat,1140,1140,Tovia B. Eli
3128,"['Ayyash B. Sadaqa', 'Barhun B. Moses Al-tahirti']",Fustat,ca. 1045,1045,Ayyash B. Sadaqa
3130,"['Ismail B. Farah', 'Tahirti Family']",Alexandria,ca. 1051,1051,Ismail B. Farah
3131,"['Nathan B. Samuel', 'Abu Hasan', 'Abu Nasr', 'R. Yehiel', 'Qadib', 'Saadya']",A small town (likely in Fustat),Unknown,Unknown,Nathan B. Samuel
3132,"['Samuel B. Solomon', 'Mevorakh B. Saadya']","Lucena, Spain",N/A,N/A,Samuel B. Solomon
3134,"['Abu Ali', 'Abu Izz', 'Joseph']",N/A,N/A,N/A,Abu Ali
3138,"['X B. Menahem', 'Eleazar B. Meshullam']",N/A,N/A,N/A,X B. Menahem
3139,['N/a'],N/A,N/A,N/A,N/a
3141,"['Abu Majd Uzziel', 'Moses B. Perahya', 'Nehemiah']",Damira,13th century,13th century CE,Abu Majd Uzziel
3142,"['Nahray B. Nissim', 'Barhun B. Isaac Al-tahirti', 'Barhun B. Moses Al-tahirti']",Fustat,1053,1053,Nahray B. Nissim Or Barhun B. Isaac Al-tahirti
3145,"['Ata B. Zikri', 'Mevorakh B. Israel Januni', 'Nahray B. Nissim', 'Isaac B. Khalluf']",Alexandria,ca. 1060,ca. 1060,Ata B. Zikri
3146,"['Marduk B. Moses', 'Nahray B. Nissim', 'Moses B. Abi Al-hayy']",Alexandria,ca. 1060 CE,1060 CE,Moses B. Abi Al-hayy
3147,"['Moses B. Levi', 'Abu Hasan', 'Sajjaa Al-din']",Qalyub,N/A,N/A,Moses B. Levi
3148,['N/a'],Alexandria,N/A,N/A,N/a
3149,"['Joshua B. Ismail', 'Khalluf B. Moses', 'Abu Joseph Jacob B. Azhar']",Fustat,8 April 1052 CE,8 April 1052 CE,Joshua B. Ismail
3153,['Ephraim B. Isaac'],Egypt,1181,1181,Ephraim B. Isaac
3154,[],N/A,N/A,N/A,N/a
3157,"['Judayla Family', 'Ismail B. Barhun Al-tahirti', 'Shaya']",Maghreb,ca. 1010,ca. 1010,Ismail B. Barhun Al-tahirti
3161,"['Manasseh The Teacher', 'Eleazar B. Judah B. Eleazar', 'Sad Al-mulk']",N/A,N/A,N/A,Manasseh The Teacher
3164,['N/a'],Fez,N/A,N/A,N/a
3176,"['Abraham B. Farah', 'Abu Isaac Barhun B. Moses Al-tahirti']",Alexandria,mid 11th century,N/A,Abraham B. Farah
3180,"['Abraham B. Shabbetai', 'Abu Isaac']",Minyat Zipta,N/A,N/A,Abraham B. Shabbetai
3181,"['Moses B. Yahya Al-majjani', 'Abu Faraj Joshua B. Ismail']",Fustat,"21 March, 1029",1029-03-21,Moses B. Yahya Al-majjani
3182,"['Yakhin Rosh Ha-qehillot', 'Halfon B. Manasseh']",N/A,N/A,N/A,The Mother
3183,['Abu Imran'],Minyat Zifta,N/A,N/A,The Writer
3185,['Mevorakh B. Saadya'],Alexandria,1080 CE,CE,Mevorakh B. Saadya
3194,"['Nahray B. Nissim', 'David B. Daniel', 'Joseph B. Eleazar']",N/A,1082-1092,11th century,Judah B. Joseph
3196,"['Samuel B. Jacob', 'Zadok']",Egypt,early 13th century,13th century,Samuel B. Jacob
3197,"['Nizar', 'Al-afdal', 'Al-mustansir']",Alexandria,1094,1094 CE,N/a
3207,"['Israel B. Joseph', 'Abu Sahl Manasseh B. David']",Qayrawan,N/A,N/A,Israel B. Joseph
3214,"['Moses B. Yefet', 'Ephraim B. Shemarya']",Malij,N/A,N/A,Moses B. Yefet
3215,"['David B. Daniel', 'Judah', 'B. Outhwaite']",N/A,ca. 1090 CE,ca. 1090 CE,David B. Daniel
3216,"['Abraham B. Abu Surur', 'Abu Nasr B. Abu Karam']",Medieval Egypt,N/A,N/A,Abraham B. Abu Surur
3218,"['Abraham Shabbetai', 'Yoshiyyahu B. Moses', 'Elijah Ashtor']",Lower Egypt,N/A,N/A,Abraham Shabbetai
3219,"['Abraham Al-mahalli Al-talmid', 'Joseph B. Abu Imran', 'Yehezqel Ha-dayyan Ha-gadol', 'Sitt Rayhan', 'Najmiyya', 'Thana', 'Afif']",Fustat,N/A,N/A,Abu Mansur B. Abu Sad Samuel
3220,"['Meshullam', 'Sasson', 'Isaac']",Cairo,N/A,N/A,Meshullam
3221,"['Abu Hasan Al-dimashqi', 'Judah', 'Arah B. Nathan']",Alexandria,N/A,N/A,Abu Hasan Al-dimashqi
3222,"['Moses Maimonides', 'Moses', 'Brother Of The Sender']",Alexandria,N/A,N/A,N/a
3223,"['Abu Joseph B. Ismail [al-andalusi]', 'Said', 'Yahya B. Al-munajjim']",Tyre,Mid-11th century,N/A,Unknown
3224,"['Joshua B. Yakhin', 'Solomon B. Shelah']",N/A,N/A,N/A,Joshua B. Yakhin
3225,"['Samuel B. Hananya', 'The Woman', 'The Womans Father', 'The Womans Brother', 'The Womans Husband']",Fustat,1140-1159 CE,1140-1159 CE,Samuel B. Hananya
3226,"['Joseph B. Tobiah', 'Amin Al-mulk']",N/A,Late 12th/early 13th century,N/A,Joseph B. Tobiah
3227,"['Joshua B. Shabbetai', 'Eleazar B. Halfon']",Alexandria,N/A,N/A,Eleazar B. Halfon
3228,"['Benjamin B. Yaqob', 'Abu Muna', 'Al-faraj', 'Abu Majd']",N/A,N/A,N/A,Sadaqa B. Isaac
3229,"['Eleazar B. Judah', 'Mevorakh B. Saadya']",N/A,N/A,N/A,Eleazar B. Judah
3230,"['Judah B. Israel', 'Abu Fadl Joseph B. Mala']",N/A,N/A,N/A,Judah B. Israel
3231,"['Al-malik Al-afdal', 'Mevorakh']",al-Minya,1096,1096 CE,N/a
3235,"['Aaron B. Joshua B. Al-ammani', 'Abu Said Al-attar', 'Joseph B. Abitur', 'Dioscorus', 'Simon Qayara']",Alexandria,ca. 1140,1140,Aaron B. Joshua B. Al-ammani
3238,['Mevorakh'],N/A,N/A,N/A,Mevorakh
3239,['Isaac B. Samuel'],Fustat,N/A,N/A,Isaac B. Samuel
3240,"['Shabbetai B. Kaleb', 'Abraham', 'Jacob', 'Abu Said', 'Solomon']",Fustat,N/A,N/A,Shabbetai B. Kaleb
3241,"['Abu Hasan Allun', 'Eli B. Yahya']",N/A,N/A,N/A,Eli B. Yahya
3243,"['Abu Fadl Masliah B. Joseph', 'B. Nathan', 'The Rayyis']",Alexandria,Ca. first half of the 12th century,Ca. first half of the 12th century,Solomon B. Hayyim
3245,"['Abu Isaac Abraham B. Nathan', 'Son-in-law']",N/A,N/A,N/A,Abu Isaac Abraham B. Nathan
3246,"['Joseph B. Mala', 'Netanel Abu Said B. Sadaqa']",N/A,ca. 1110,ca. 1110 CE,Joseph B. Mala
3247,"['Mevorakh B. Abraham', 'Mubarak B. Azarya', 'Abu Tayyib']",Sham (Syria),N/A,N/A,Mevorakh B. Abraham
3248,"['Halfon B. Isaac', 'Abraham B. Nathan']",N/A,N/A,N/A,Halfon B. Isaac
3249,"['Yehezkiah B. Solomon The Frenchman', 'Joseph']",France,N/A,N/A,Yehezkiah B. Solomon The Frenchman
3250,"['Abraham B. Farah', 'Nahray B. Nissim']",Alexandria,July 1053,July 1053,Abraham B. Farah
3252,"['Siba', 'Abu Najm', 'Abu Said B. Thabit Al-hazzan', 'Meir B. Yakhin', 'Abu Al-majd B. Thabit']",Alexandria,early 13th century,N/A,Siba
3253,['Hayyim B. Eli'],Alexandria,ca. 1080,1080,Hayyim B. Eli
3254,"['Isaac B. Moses', 'Zeresh', 'The']",Sunbāṭ,1149 CE,1149 CE,Isaac B. Moses
3255,"['Eli B. Nathan', 'Solomon B. Yishai']",Cairo,N/A,N/A,Eli B. Nathan
3256,"['Abraham Abu Isaac B. Nathan The Seventh', 'Abu Maali']",N/A,N/A,N/A,Abu Maali
3258,"['Hillel B. Eli', 'Abu Hasan']",N/A,N/A,N/A,Hillel B. Eli
